timestamp,wind_speed,wind_direction,rpm,voltage,current,power,temperature,vibration,status
2026-06-01 02:09:45.176882,4.51,209,67.65,220.63,7.11,45.87,27.32,0.38,Running
2026-06-01 02:09:46.200845,7.36,220,110.4,235.05,3.72,199.34,28.55,2.47,Running
2026-06-01 02:09:47.204008,5.83,265,87.45,234.36,7.0,99.08,34.0,1.72,Running
2026-06-01 02:09:48.207562,7.39,218,110.85,222.37,3.99,201.79,33.58,2.12,Running
2026-06-01 02:09:49.211351,2.13,149,31.95,232.35,8.18,4.83,45.02,2.82,Running
2026-06-01 02:09:50.222839,10.56,336,158.4,228.41,5.19,588.79,26.77,2.38,Running
2026-06-01 02:09:51.227086,6.17,202,92.55,236.6,3.34,117.44,34.25,0.2,Running
2026-06-01 02:09:52.230608,5.98,138,89.7,225.67,1.9,106.92,46.67,2.26,Running
2026-06-01 02:09:53.240589,8.31,227,124.65,228.91,1.14,286.93,30.41,1.6,Running
2026-06-01 02:09:54.245178,3.68,221,55.2,222.61,6.78,24.92,48.73,2.17,Running
2026-06-01 02:09:55.248210,6.81,89,102.15,220.75,3.44,157.91,39.5,0.73,Running
2026-06-01 02:09:56.253121,6.33,95,94.95,237.3,6.49,126.82,30.66,0.79,Running
2026-06-01 02:09:57.256116,6.3,164,94.5,229.46,9.89,125.02,40.85,2.81,Running
2026-06-01 02:09:58.259011,13.59,12,203.85,231.06,5.06,1254.96,40.18,0.82,Running
2026-06-01 02:09:59.261647,6.56,20,98.4,224.96,3.91,141.15,27.33,2.71,Running
2026-06-01 02:10:00.265587,14.06,110,210.9,222.51,4.08,1389.72,44.11,0.54,Running
2026-06-01 02:10:01.270530,2.85,211,42.75,237.15,6.95,11.57,40.74,1.65,Running
2026-06-01 02:10:02.273819,13.23,211,198.45,238.1,7.58,1157.84,26.1,0.68,Running
2026-06-01 02:10:03.277725,3.62,220,54.3,221.91,1.88,23.72,43.84,2.87,Running
2026-06-01 02:10:04.281503,4.91,290,73.65,231.99,1.85,59.19,29.75,2.35,Running
2026-06-01 02:10:05.285781,6.31,151,94.65,228.08,6.74,125.62,42.72,1.14,Running
2026-06-01 02:10:06.289312,3.97,195,59.55,239.69,7.43,31.29,45.65,2.59,Running
2026-06-01 02:10:07.299061,9.5,271,142.5,224.93,8.35,428.69,41.33,1.84,Running
2026-06-01 02:10:08.302358,3.51,118,52.65,235.79,6.14,21.62,28.95,1.68,Running
2026-06-01 02:10:09.305450,4.52,84,67.8,223.83,8.64,46.17,28.16,1.22,Running
2026-06-01 02:10:10.309334,5.13,133,76.95,231.04,4.87,67.5,47.28,2.73,Running
2026-06-01 02:10:11.314953,10.25,322,153.75,222.11,5.15,538.45,46.17,1.6,Running
2026-06-01 02:10:12.318767,11.28,66,169.2,223.15,8.48,717.62,38.15,2.21,Running
2026-06-01 02:10:13.321459,2.08,29,31.2,224.47,9.49,4.5,36.79,2.88,Running
2026-06-01 02:10:14.324909,4.28,92,64.2,232.88,1.26,39.2,48.96,0.9,Running
